"human_geneid","human_EnsemblID","human_Symbol","human_type_of_gene","human_description","marmoset_EnsemblID","marmoset_geneid","marmoset_Symbol","mouse_EnsemblID","mouse_geneid","mouse_Symbol","rhesus_macaque_EnsemblID","rhesus_macaque_geneid","rhesus_macaque_Symbol"
27023,"ENSG00000171956","FOXB1","protein-coding","forkhead box B1","ENSCJAG00000023331",100389929,"FOXB1","ENSMUSG00000059246",64290,"Foxb1","ENSMMUG00000001379",703577,"FOXB1"
27030,"ENSG00000119684","MLH3","protein-coding","mutL homolog 3","ENSCJAG00000020596",100387522,"MLH3","ENSMUSG00000021245",217716,"Mlh3","ENSMMUG00000002911",701482,"MLH3"
27031,"ENSG00000113971","NPHP3","protein-coding","nephrocystin 3",NA,100387733,"NPHP3","ENSMUSG00000032558",74025,"Nphp3","ENSMMUG00000021772",717622,"NPHP3"
27032,"ENSG00000017260","ATP2C1","protein-coding","ATPase secretory pathway Ca2+ transporting 1","ENSCJAG00000003182",100411487,"ATP2C1","ENSMUSG00000032570",235574,"Atp2c1","ENSMMUG00000005137",719281,"ATP2C1"
27033,"ENSG00000011590","ZBTB32","protein-coding","zinc finger and BTB domain containing 32",NA,100390485,"ZBTB32","ENSMUSG00000006310",58206,"Zbtb32","ENSMMUG00000002375",710216,"ZBTB32"
27034,"ENSG00000151498","ACAD8","protein-coding","acyl-CoA dehydrogenase family member 8","ENSCJAG00000019530",100385977,"ACAD8","ENSMUSG00000031969",66948,"Acad8","ENSMMUG00000007107",677723,"ACAD8"
27035,"ENSG00000007952","NOX1","protein-coding","NADPH oxidase 1","ENSCJAG00000004488",100403058,"NOX1","ENSMUSG00000031257",237038,"Nox1","ENSMMUG00000004178",701376,"NOX1"
27037,"ENSG00000099899","TRMT2A","protein-coding","tRNA methyltransferase 2 homolog A",NA,100415295,"TRMT2A","ENSMUSG00000022721",15547,"Trmt2a","ENSMMUG00000020099",719425,"TRMT2A"
27039,"ENSG00000078795","PKD2L2","protein-coding","polycystin 2 like 2, transient receptor potential cation channel","ENSCJAG00000006165",100386834,"PKD2L2","ENSMUSG00000014503",53871,"Pkd2l2","ENSMMUG00000016357",713629,"PKD2L2"
27040,"ENSG00000213658","LAT","protein-coding","linker for activation of T cells","ENSCJAG00000033767",100414442,"LAT","ENSMUSG00000030742",16797,"Lat","ENSMMUG00000043332",704656,"LAT"
27042,"ENSG00000117597","UTP25","protein-coding","UTP25 small subunit processome component","ENSCJAG00000015049",100403648,"UTP25","ENSMUSG00000016181",215193,"Utp25","ENSMMUG00000022066",712825,"UTP25"
27043,"ENSG00000141456","PELP1","protein-coding","proline, glutamate and leucine rich protein 1","ENSCJAG00000012265",100386751,"PELP1","ENSMUSG00000018921",75273,"Pelp1","ENSMMUG00000010150",677854,"PELP1"
27044,"ENSG00000197157","SND1","protein-coding","staphylococcal nuclease and tudor domain containing 1","ENSCJAG00000017668",100401773,"SND1","ENSMUSG00000001424",56463,"Snd1","ENSMMUG00000015432",699542,"SND1"
27063,"ENSG00000148677","ANKRD1","protein-coding","ankyrin repeat domain 1","ENSCJAG00000011021",100409294,"ANKRD1","ENSMUSG00000024803",107765,"Ankrd1","ENSMMUG00000006632",696653,"ANKRD1"
27065,"ENSG00000168824","NSG1","protein-coding","neuronal vesicle trafficking associated 1",NA,100409582,"NSG1","ENSMUSG00000029126",18196,"Nsg1","ENSMMUG00000020203",712289,"NSG1"
27067,"ENSG00000040341","STAU2","protein-coding","staufen double-stranded RNA binding protein 2",NA,100409920,"STAU2","ENSMUSG00000025920",29819,"Stau2","ENSMMUG00000021588",696034,"STAU2"
27068,"ENSG00000138777","PPA2","protein-coding","inorganic pyrophosphatase 2","ENSCJAG00000015715",100392515,"PPA2","ENSMUSG00000028013",74776,"Ppa2","ENSMMUG00000017004",694267,"PPA2"
27069,"ENSG00000165678","GHITM","protein-coding","growth hormone inducible transmembrane protein",NA,100415517,"GHITM","ENSMUSG00000041028",66092,"Ghitm","ENSMMUG00000018572",702691,"GHITM"
27071,"ENSG00000070190","DAPP1","protein-coding","dual adaptor of phosphotyrosine and 3-phosphoinositides 1","ENSCJAG00000015189",100388888,"DAPP1","ENSMUSG00000028159",26377,"Dapp1","ENSMMUG00000006829",709038,"DAPP1"
27072,"ENSG00000006715","VPS41","protein-coding","VPS41 subunit of HOPS complex",NA,100393319,"VPS41","ENSMUSG00000041236",218035,"Vps41","ENSMMUG00000010042",712457,"VPS41"
27074,"ENSG00000078081","LAMP3","protein-coding","lysosomal associated membrane protein 3",NA,100410634,"LAMP3","ENSMUSG00000041247",239739,"Lamp3","ENSMMUG00000010555",574213,"LAMP3"
27075,"ENSG00000106537","TSPAN13","protein-coding","tetraspanin 13","ENSCJAG00000000990",100415738,"TSPAN13","ENSMUSG00000020577",66109,"Tspan13",NA,714570,"TSPAN13"
27076,"ENSG00000124466","LYPD3","protein-coding","LY6/PLAUR domain containing 3",NA,100389042,"LYPD3","ENSMUSG00000057454",72434,"Lypd3","ENSMMUG00000054323",718197,"LYPD3"
27077,"ENSG00000108641","B9D1","protein-coding","B9 domain containing 1",NA,100401864,"B9D1","ENSMUSG00000001039",27078,"B9d1","ENSMMUG00000000138",702949,"B9D1"
27079,"ENSG00000166133","RPUSD2","protein-coding","RNA pseudouridine synthase domain containing 2","ENSCJAG00000020841",100413224,"RPUSD2","ENSMUSG00000027324",271842,"Rpusd2","ENSMMUG00000001483",708166,"RPUSD2"
27085,"ENSG00000172167","MTBP","protein-coding","MDM2 binding protein","ENSCJAG00000005324",100403019,"MTBP","ENSMUSG00000022369",105837,"Mtbp","ENSMMUG00000002601",703121,"MTBP"
27086,"ENSG00000114861","FOXP1","protein-coding","forkhead box P1","ENSCJAG00000013138",100394913,"FOXP1","ENSMUSG00000030067",108655,"Foxp1","ENSMMUG00000002889",694726,"FOXP1"
27087,"ENSG00000109956","B3GAT1","protein-coding","beta-1,3-glucuronyltransferase 1","ENSCJAG00000007744",100391738,"B3GAT1","ENSMUSG00000045994",76898,"B3gat1","ENSMMUG00000002250",695293,"B3GAT1"
27089,"ENSG00000164405","UQCRQ","protein-coding","ubiquinol-cytochrome c reductase complex III subunit VII","ENSCJAG00000013303",100405068,"UQCRQ","ENSMUSG00000044894",22272,"Uqcrq","ENSMMUG00000051941",708950,"UQCRQ"
27090,"ENSG00000136840","ST6GALNAC4","protein-coding","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4","ENSCJAG00000019908",100401438,"ST6GALNAC4","ENSMUSG00000079442",20448,"St6galnac4","ENSMMUG00000015917",705879,"ST6GALNAC4"
27091,"ENSG00000075429","CACNG5","protein-coding","calcium voltage-gated channel auxiliary subunit gamma 5",NA,103793342,"CACNG5","ENSMUSG00000040373",140723,"Cacng5","ENSMMUG00000052025",718465,"CACNG5"
27092,"ENSG00000075461","CACNG4","protein-coding","calcium voltage-gated channel auxiliary subunit gamma 4",NA,100414144,"CACNG4","ENSMUSG00000020723",54377,"Cacng4",NA,718540,"CACNG4"
27094,"ENSG00000171121","KCNMB3","protein-coding","potassium calcium-activated channel subfamily M regulatory beta subunit 3",NA,100403137,"KCNMB3","ENSMUSG00000091091",100502876,"Kcnmb3","ENSMMUG00000005187",709856,"KCNMB3"
27095,"ENSG00000054116","TRAPPC3","protein-coding","trafficking protein particle complex subunit 3","ENSCJAG00000001734",100388354,"TRAPPC3","ENSMUSG00000028847",27096,"Trappc3","ENSMMUG00000022499",713705,"TRAPPC3"
27097,"ENSG00000135801","TAF5L","protein-coding","TATA-box binding protein associated factor 5 like","ENSCJAG00000010986",100395183,"TAF5L","ENSMUSG00000038697",102162,"Taf5l","ENSMMUG00000009508",693770,"TAF5L"
27098,"ENSG00000079101","CLUL1","protein-coding","clusterin like 1",NA,100391754,"CLUL1",NA,NA,NA,"ENSMMUG00000004045",699155,"CLUL1"
27101,"ENSG00000116161","CACYBP","protein-coding","calcyclin binding protein","ENSCJAG00000008989",100396375,"CACYBP","ENSMUSG00000014226",12301,"Cacybp","ENSMMUG00000001571",709343,"CACYBP"
27102,"ENSG00000086232","EIF2AK1","protein-coding","eukaryotic translation initiation factor 2 alpha kinase 1","ENSCJAG00000015372",100402296,"EIF2AK1","ENSMUSG00000029613",15467,"Eif2ak1","ENSMMUG00000030419",703325,"EIF2AK1"
27106,"ENSG00000105643","ARRDC2","protein-coding","arrestin domain containing 2","ENSCJAG00000036002",100398564,"ARRDC2","ENSMUSG00000002910",70807,"Arrdc2","ENSMMUG00000007401",719299,"ARRDC2"
27107,"ENSG00000066422","ZBTB11","protein-coding","zinc finger and BTB domain containing 11","ENSCJAG00000000499",100413260,"ZBTB11","ENSMUSG00000022601",271377,"Zbtb11","ENSMMUG00000015060",702278,"ZBTB11"
27109,"ENSG00000125375","DMAC2L","protein-coding","distal membrane arm assembly component 2 like",NA,100411924,"DMAC2L","ENSMUSG00000054894",68055,"Dmac2l","ENSMMUG00000002615",100426047,"DMAC2L"
27111,"ENSG00000125775","SDCBP2","protein-coding","syndecan binding protein 2","ENSCJAG00000020901",100398458,"SDCBP2","ENSMUSG00000027456",228765,"Sdcbp2","ENSMMUG00000018165",715602,"SDCBP2"
27112,"ENSG00000130054","NALF2","protein-coding","NALCN channel auxiliary factor 2","ENSCJAG00000012571",100410448,"NALF2","ENSMUSG00000071719",620592,"Nalf2","ENSMMUG00000006416",695830,"NALF2"
27113,"ENSG00000105327","BBC3","protein-coding","BCL2 binding component 3",NA,100387604,"BBC3","ENSMUSG00000002083",170770,"Bbc3",NA,717955,"BBC3"
27115,"ENSG00000171408","PDE7B","protein-coding","phosphodiesterase 7B","ENSCJAG00000008164",100405584,"PDE7B","ENSMUSG00000019990",29863,"Pde7b","ENSMMUG00000003708",711783,"PDE7B"
27120,"ENSG00000104901","DKKL1","protein-coding","dickkopf like acrosomal protein 1",NA,100409475,"DKKL1","ENSMUSG00000030792",50722,"Dkkl1","ENSMMUG00000014794",114674123,"DKKL1"
27121,"ENSG00000104371","DKK4","protein-coding","dickkopf WNT signaling pathway inhibitor 4","ENSCJAG00000007996",100394179,"DKK4","ENSMUSG00000031535",234130,"Dkk4","ENSMMUG00000020794",705011,"DKK4"
27122,"ENSG00000050165","DKK3","protein-coding","dickkopf WNT signaling pathway inhibitor 3","ENSCJAG00000010506",100393700,"DKK3","ENSMUSG00000030772",50781,"Dkk3","ENSMMUG00000022862",701549,"DKK3"
27123,"ENSG00000155011","DKK2","protein-coding","dickkopf WNT signaling pathway inhibitor 2","ENSCJAG00000015903",100401841,"DKK2","ENSMUSG00000028031",56811,"Dkk2","ENSMMUG00000051654",694869,"DKK2"
27124,"ENSG00000185133","INPP5J","protein-coding","inositol polyphosphate-5-phosphatase J","ENSCJAG00000010779",100395276,"INPP5J","ENSMUSG00000034570",170835,"Inpp5j","ENSMMUG00000022395",718308,"INPP5J"
27125,"ENSG00000072364","AFF4","protein-coding","ALF transcription elongation factor 4","ENSCJAG00000013322",100403628,"AFF4","ENSMUSG00000049470",93736,"Aff4","ENSMMUG00000015640",709137,"AFF4"
27127,"ENSG00000077935","SMC1B","protein-coding","structural maintenance of chromosomes 1B","ENSCJAG00000000550",100411712,"SMC1B","ENSMUSG00000022432",140557,"Smc1b","ENSMMUG00000023004",713486,"SMC1B"
27128,"ENSG00000100055","CYTH4","protein-coding","cytohesin 4",NA,100396718,"CYTH4","ENSMUSG00000018008",72318,"Cyth4","ENSMMUG00000018855",696837,"CYTH4"
27129,"ENSG00000173641","HSPB7","protein-coding","heat shock protein family B (small) member 7","ENSCJAG00000008481",100399814,"HSPB7","ENSMUSG00000006221",29818,"Hspb7","ENSMMUG00000001910",696704,"HSPB7"
27130,"ENSG00000119509","INVS","protein-coding","inversin","ENSCJAG00000011404",100415162,"INVS","ENSMUSG00000028344",16348,"Invs","ENSMMUG00000001524",714490,"INVS"
27131,"ENSG00000089006","SNX5","protein-coding","sorting nexin 5",NA,100411268,"SNX5","ENSMUSG00000027423",69178,"Snx5","ENSMMUG00000011476",698897,"SNX5"
27132,"ENSG00000178773","CPNE7","protein-coding","copine 7",NA,100396018,"CPNE7","ENSMUSG00000034796",102278,"Cpne7","ENSMMUG00000029064",713590,"CPNE7"
27133,"ENSG00000140015","KCNH5","protein-coding","potassium voltage-gated channel subfamily H member 5","ENSCJAG00000019255",100413106,"KCNH5","ENSMUSG00000034402",238271,"Kcnh5","ENSMMUG00000023518",705368,"KCNH5"
27134,"ENSG00000105289","TJP3","protein-coding","tight junction protein 3","ENSCJAG00000014958",100390715,"TJP3","ENSMUSG00000034917",27375,"Tjp3","ENSMMUG00000028930",721760,"TJP3"
27136,"ENSG00000114487","MORC1","protein-coding","MORC family CW-type zinc finger 1",NA,100399625,"MORC1","ENSMUSG00000022652",17450,"Morc1","ENSMMUG00000013885",100429356,"MORC1"
27141,"ENSG00000136305","CIDEB","protein-coding","cell death inducing DFFA like effector b","ENSCJAG00000006658",100414793,"CIDEB","ENSMUSG00000022219",12684,"Cideb","ENSMMUG00000048106",100425328,"CIDEB"
27143,"ENSG00000107719","PALD1","protein-coding","phosphatase domain containing paladin 1",NA,100406272,"PALD1","ENSMUSG00000020092",27355,"Pald1","ENSMMUG00000021618",716371,"PALD1"
27145,"ENSG00000118407","FILIP1","protein-coding","filamin A interacting protein 1",NA,100389991,"FILIP1","ENSMUSG00000034898",70598,"Filip1","ENSMMUG00000019275",716439,"FILIP1"
27146,"ENSG00000047662","FAM184B","protein-coding","family with sequence similarity 184 member B","ENSCJAG00000012722",100399893,"FAM184B","ENSMUSG00000015879",58227,"Fam184b","ENSMMUG00000018067",722864,"FAM184B"
27147,"ENSG00000146966","DENND2A","protein-coding","DENN domain containing 2A",NA,100401024,"DENND2A","ENSMUSG00000038456",209773,"Dennd2a","ENSMMUG00000042299",716822,"DENND2A"
27148,"ENSG00000163482","STK36","protein-coding","serine/threonine kinase 36","ENSCJAG00000011237",100393061,"STK36","ENSMUSG00000033276",269209,"Stk36","ENSMMUG00000006744",699940,"STK36"
27151,"ENSG00000160111","CPAMD8","protein-coding","C3 and PZP like alpha-2-macroglobulin domain containing 8",NA,100393868,"CPAMD8",NA,NA,NA,NA,719660,"CPAMD8"
27152,"ENSG00000164066","INTU","protein-coding","inturned planar cell polarity protein","ENSCJAG00000003524",100398198,"INTU","ENSMUSG00000060798",380614,"Intu","ENSMMUG00000015241",709967,"INTU"
27153,"ENSG00000196453","ZNF777","protein-coding","zinc finger protein 777","ENSCJAG00000032232",100390761,"ZNF777","ENSMUSG00000071477",72306,"Zfp777",NA,NA,NA
27154,"ENSG00000096070","BRPF3","protein-coding","bromodomain and PHD finger containing 3",NA,100405456,"BRPF3","ENSMUSG00000063952",268936,"Brpf3","ENSMMUG00000015416",718997,"BRPF3"
27156,"ENSG00000100218","RSPH14","protein-coding","radial spoke head 14 homolog","ENSCJAG00000009770",100394311,"RSPH14","ENSMUSG00000009070",71236,"Rsph14","ENSMMUG00000051682",706814,"RSPH14"
27158,"ENSG00000188566","NDOR1","protein-coding","NADPH dependent diflavin oxidoreductase 1",NA,100414934,"NDOR1","ENSMUSG00000006471",78797,"Ndor1","ENSMMUG00000018107",706056,"NDOR1"
27159,"ENSG00000134216","CHIA","protein-coding","chitinase acidic",NA,NA,NA,NA,NA,NA,NA,705382,"CHIA"
27161,"ENSG00000123908","AGO2","protein-coding","argonaute RISC catalytic component 2","ENSCJAG00000004132",100390940,"AGO2","ENSMUSG00000036698",239528,"Ago2","ENSMMUG00000008045",711873,"AGO2"
27163,"ENSG00000138744","NAAA","protein-coding","N-acylethanolamine acid amidase","ENSCJAG00000014374",100399529,"NAAA","ENSMUSG00000029413",67111,"Naaa","ENSMMUG00000017501",700991,"NAAA"
27164,"ENSG00000256463","SALL3","protein-coding","spalt like transcription factor 3",NA,100401050,"SALL3","ENSMUSG00000024565",20689,"Sall3","ENSMMUG00000000286",717303,"SALL3"
27165,"ENSG00000135423","GLS2","protein-coding","glutaminase 2","ENSCJAG00000010875",100385124,"GLS2","ENSMUSG00000044005",216456,"Gls2","ENSMMUG00000000860",712962,"GLS2"
27166,"ENSG00000169230","PRELID1","protein-coding","PRELI domain containing 1","ENSCJAG00000006953",100406535,"PRELID1","ENSMUSG00000021486",66494,"Prelid1","ENSMMUG00000009046",699254,"PRELID1"
27173,"ENSG00000143570","SLC39A1","protein-coding","solute carrier family 39 member 1","ENSCJAG00000010006",103789004,"SLC39A1","ENSMUSG00000052310",30791,"Slc39a1","ENSMMUG00000005007",715994,"SLC39A1"
27175,"ENSG00000037042","TUBG2","protein-coding","tubulin gamma 2",NA,100390134,"TUBG2",NA,NA,NA,NA,NA,NA
27177,"ENSG00000136696","IL36B","protein-coding","interleukin 36 beta",NA,100895633,"IL36B","ENSMUSG00000026985",69677,"Il36b","ENSMMUG00000064457",701300,"IL36B"
27178,"ENSG00000125571","IL37","protein-coding","interleukin 37",NA,100404127,"IL37",NA,NA,NA,"ENSMMUG00000005922",700579,"IL37"
27179,"ENSG00000136694","IL36A","protein-coding","interleukin 36 alpha",NA,100384911,"IL36A",NA,NA,NA,"ENSMMUG00000000988",705136,"IL36A"
27183,"ENSG00000132612","VPS4A","protein-coding","vacuolar protein sorting 4 homolog A","ENSCJAG00000015386",100401960,"VPS4A","ENSMUSG00000031913",116733,"Vps4a","ENSMMUG00000016637",705277,"VPS4A"
27185,"ENSG00000162946","DISC1","protein-coding","DISC1 scaffold protein",NA,100384943,"DISC1","ENSMUSG00000043051",244667,"Disc1","ENSMMUG00000013119",719086,"DISC1"
27189,"ENSG00000124391","IL17C","protein-coding","interleukin 17C",NA,100387593,"IL17C","ENSMUSG00000046108",234836,"Il17c","ENSMMUG00000014324",710618,"IL17C"
27190,"ENSG00000127743","IL17B","protein-coding","interleukin 17B","ENSCJAG00000021136",100385288,"IL17B","ENSMUSG00000024578",56069,"Il17b","ENSMMUG00000021666",710679,"IL17B"
27197,"ENSG00000171657","GPR82","protein-coding","G protein-coupled receptor 82","ENSCJAG00000009032",100402109,"GPR82","ENSMUSG00000047678",319200,"Gpr82","ENSMMUG00000022584",701014,"GPR82"
27198,"ENSG00000196917","HCAR1","protein-coding","hydroxycarboxylic acid receptor 1",NA,100408428,"HCAR1","ENSMUSG00000049241",243270,"Hcar1","ENSMMUG00000054216",702825,"HCAR1"
27199,"ENSG00000165621","OXGR1","protein-coding","oxoglutarate receptor 1",NA,100394650,"OXGR1","ENSMUSG00000044819",239283,"Oxgr1","ENSMMUG00000064141",696735,"OXGR1"
27201,"ENSG00000155269","GPR78","protein-coding","G protein-coupled receptor 78","ENSCJAG00000021496",100397228,"GPR78",NA,NA,NA,"ENSMMUG00000006236",708831,"GPR78"
27202,"ENSG00000134830","C5AR2","protein-coding","complement C5a receptor 2",NA,100388319,"C5AR2","ENSMUSG00000074361",319430,"C5ar2","ENSMMUG00000009277",717209,"C5AR2"
27229,"ENSG00000137822","TUBGCP4","protein-coding","tubulin gamma complex component 4","ENSCJAG00000002852",100392219,"TUBGCP4","ENSMUSG00000027263",51885,"Tubgcp4","ENSMMUG00000017076",710327,"TUBGCP4"
27230,"ENSG00000120742","SERP1","protein-coding","stress associated endoplasmic reticulum protein 1","ENSCJAG00000001242",100403508,"SERP1","ENSMUSG00000027808",28146,"Serp1","ENSMMUG00000054234",106997040,"SERP1"
27231,"ENSG00000077009","NMRK2","protein-coding","nicotinamide riboside kinase 2",NA,100895020,"NMRK2","ENSMUSG00000004939",69564,"Nmrk2","ENSMMUG00000015273",721792,"NMRK2"
27232,"ENSG00000124713","GNMT","protein-coding","glycine N-methyltransferase","ENSCJAG00000004675",100413047,"GNMT","ENSMUSG00000002769",14711,"Gnmt","ENSMMUG00000001393",697722,"GNMT"
27233,"ENSG00000198075","SULT1C4","protein-coding","sulfotransferase family 1C member 4",NA,NA,NA,NA,NA,NA,"ENSMMUG00000055529",693903,"SULT1C4"
27235,"ENSG00000173085","COQ2","protein-coding","coenzyme Q2, polyprenyltransferase","ENSCJAG00000005180",100411613,"COQ2","ENSMUSG00000029319",71883,"Coq2","ENSMMUG00000013340",707681,"COQ2"
27236,"ENSG00000164144","ARFIP1","protein-coding","ADP ribosylation factor interacting protein 1","ENSCJAG00000002029",100411738,"ARFIP1","ENSMUSG00000074513",99889,"Arfip1","ENSMMUG00000018490",697533,"ARFIP1"
27237,"ENSG00000130762","ARHGEF16","protein-coding","Rho guanine nucleotide exchange factor 16",NA,100398479,"ARHGEF16","ENSMUSG00000029032",230972,"Arhgef16","ENSMMUG00000009354",694808,"ARHGEF16"
27238,"ENSG00000068394","GPKOW","protein-coding","G-patch domain and KOW motifs",NA,100406332,"GPKOW","ENSMUSG00000031148",209416,"Gpkow","ENSMMUG00000020557",715449,"GPKOW"
27239,"ENSG00000250510","GPR162","protein-coding","G protein-coupled receptor 162",NA,103795158,"GPR162","ENSMUSG00000038390",14788,"Gpr162","ENSMMUG00000049147",100428266,"GPR162"
27240,"ENSG00000137078","SIT1","protein-coding","signaling threshold regulating transmembrane adaptor 1","ENSCJAG00000009533",100403611,"SIT1","ENSMUSG00000028460",54390,"Sit1","ENSMMUG00000063329",697087,"SIT1"
27241,"ENSG00000122507","BBS9","protein-coding","Bardet-Biedl syndrome 9","ENSCJAG00000009008",100412381,"BBS9","ENSMUSG00000035919",319845,"Bbs9","ENSMMUG00000002886",708412,"BBS9"
27242,"ENSG00000146072","TNFRSF21","protein-coding","TNF receptor superfamily member 21","ENSCJAG00000011904",100386273,"TNFRSF21","ENSMUSG00000023915",94185,"Tnfrsf21","ENSMMUG00000011905",705101,"TNFRSF21"
27243,"ENSG00000130724","CHMP2A","protein-coding","charged multivesicular body protein 2A",NA,100395807,"CHMP2A","ENSMUSG00000033916",68953,"Chmp2a","ENSMMUG00000022622",712059,"CHMP2A"
27244,"ENSG00000080546","SESN1","protein-coding","sestrin 1","ENSCJAG00000005880",100411159,"SESN1","ENSMUSG00000038332",140742,"Sesn1","ENSMMUG00000018232",700232,"SESN1"
27245,"ENSG00000126705","AHDC1","protein-coding","AT-hook DNA binding motif containing 1",NA,100391834,"AHDC1","ENSMUSG00000037692",230793,"Ahdc1","ENSMMUG00000009868",716158,"AHDC1"
27246,"ENSG00000265491","RNF115","protein-coding","ring finger protein 115",NA,100402432,"RNF115","ENSMUSG00000028098",67845,"Rnf115","ENSMMUG00000016736",697067,"RNF115"
27247,"ENSG00000169599","NFU1","protein-coding","NFU1 iron-sulfur cluster scaffold",NA,100384914,"NFU1","ENSMUSG00000029993",56748,"Nfu1","ENSMMUG00000059210",707942,"NFU1"
27248,"ENSG00000068912","ERLEC1","protein-coding","endoplasmic reticulum lectin 1","ENSCJAG00000010521",100397934,"ERLEC1","ENSMUSG00000020311",66753,"Erlec1","ENSMMUG00000010640",716460,"ERLEC1"
27249,"ENSG00000168288","MMADHC","protein-coding","metabolism of cobalamin associated D",NA,100390876,"MMADHC","ENSMUSG00000026766",109129,"Mmadhc","ENSMMUG00000005633",693783,"MMADHC"
27250,"ENSG00000150593","PDCD4","protein-coding","programmed cell death 4",NA,100413000,"PDCD4","ENSMUSG00000024975",18569,"Pdcd4","ENSMMUG00000017204",695345,"PDCD4"
27252,"ENSG00000076321","KLHL20","protein-coding","kelch like family member 20","ENSCJAG00000009306",100402800,"KLHL20","ENSMUSG00000026705",226541,"Klhl20","ENSMMUG00000016792",708546,"KLHL20"
27253,"ENSG00000118946","PCDH17","protein-coding","protocadherin 17","ENSCJAG00000003715",100406138,"PCDH17","ENSMUSG00000035566",219228,"Pcdh17","ENSMMUG00000022272",695637,"PCDH17"
27254,"ENSG00000172346","CSDC2","protein-coding","cold shock domain containing C2","ENSCJAG00000002580",100400889,"CSDC2","ENSMUSG00000042109",105859,"Csdc2","ENSMMUG00000062477",711847,"CSDC2"
27255,"ENSG00000134115","CNTN6","protein-coding","contactin 6",NA,100411125,"CNTN6","ENSMUSG00000030092",53870,"Cntn6","ENSMMUG00000008549",705207,"CNTN6"
27257,"ENSG00000175324","LSM1","protein-coding","LSM1 homolog, mRNA degradation associated","ENSCJAG00000002631",100388253,"LSM1","ENSMUSG00000037296",67207,"Lsm1","ENSMMUG00000013676",699754,"LSM1"
27258,"ENSG00000170860","LSM3","protein-coding","LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated","ENSCJAG00000016977",100389959,"LSM3","ENSMUSG00000034192",67678,"Lsm3",NA,701060,"LSM3"
27283,"ENSG00000137251","TINAG","protein-coding","tubulointerstitial nephritis antigen","ENSCJAG00000010887",100406197,"TINAG","ENSMUSG00000032357",26944,"Tinag","ENSMMUG00000012784",711185,"TINAG"
27284,"ENSG00000173597","SULT1B1","protein-coding","sulfotransferase family 1B member 1","ENSCJAG00000014206",100408496,"SULT1B1","ENSMUSG00000029269",56362,"Sult1b1","ENSMMUG00000062115",708638,"SULT1B1"
27285,"ENSG00000092850","TEKT2","protein-coding","tektin 2","ENSCJAG00000001705",100387635,"TEKT2","ENSMUSG00000028845",24084,"Tekt2","ENSMMUG00000012028",712690,"TEKT2"
27286,"ENSG00000102359","SRPX2","protein-coding","sushi repeat containing protein X-linked 2","ENSCJAG00000004321",100401615,"SRPX2","ENSMUSG00000031253",68792,"Srpx2","ENSMMUG00000008210",700756,"SRPX2"
27287,"ENSG00000151650","VENTX","protein-coding","VENT homeobox",NA,100392846,"VENTX","ENSMUSG00000025469",17703,"Msx3","ENSMMUG00000054337",701963,"VENTX"
27288,"ENSG00000170748","RBMXL2","protein-coding","RBMX like 2","ENSCJAG00000022240",100415631,"RBMXL2","ENSMUSG00000073894",76572,"Rbmxl2","ENSMMUG00000008588",100430818,"RBMXL2"
27289,"ENSG00000172602","RND1","protein-coding","Rho family GTPase 1","ENSCJAG00000020786",100387511,"RND1","ENSMUSG00000054855",223881,"Rnd1","ENSMMUG00000048864",710161,"RND1"
27290,"ENSG00000122711","SPINK4","protein-coding","serine peptidase inhibitor Kazal type 4","ENSCJAG00000008067",100385753,"SPINK4","ENSMUSG00000028415",20731,"Spink4","ENSMMUG00000020146",702218,"SPINK4"
27291,"ENSG00000166024","R3HCC1L","protein-coding","R3H domain and coiled-coil containing 1 like",NA,100406274,"R3HCC1L","ENSMUSG00000025184",52013,"R3hcc1l","ENSMMUG00000010281",707600,"R3HCC1L"
27292,"ENSG00000086189","DIMT1","protein-coding","DIM1 rRNA methyltransferase and ribosome maturation factor","ENSCJAG00000015527",100402552,"DIMT1","ENSMUSG00000021692",66254,"Dimt1","ENSMMUG00000000400",696688,"DIMT1"
27293,"ENSG00000130768","SMPDL3B","protein-coding","sphingomyelin phosphodiesterase acid like 3B","ENSCJAG00000009490",100406241,"SMPDL3B","ENSMUSG00000028885",100340,"Smpdl3b",NA,716655,"SMPDL3B"
27294,"ENSG00000104808","DHDH","protein-coding","dihydrodiol dehydrogenase","ENSCJAG00000000256",100390604,"DHDH","ENSMUSG00000011382",71755,"Dhdh","ENSMMUG00000003905",718930,"DHDH"
27295,"ENSG00000154553","PDLIM3","protein-coding","PDZ and LIM domain 3","ENSCJAG00000005997",100414115,"PDLIM3","ENSMUSG00000031636",53318,"Pdlim3","ENSMMUG00000015407",695779,"PDLIM3"
27296,"ENSG00000124251","TP53TG5","protein-coding","TP53 target 5",NA,100410319,"TP53TG5","ENSMUSG00000017720",73603,"Trp53tg5","ENSMMUG00000003408",710738,"TP53TG5"
27297,"ENSG00000241258","CRCP","protein-coding","CGRP receptor component","ENSCJAG00000004225",100387908,"CRCP","ENSMUSG00000025532",12909,"Crcp",NA,704831,"CRCP"
27299,"ENSG00000134028","ADAMDEC1","protein-coding","ADAM like decysin 1","ENSCJAG00000020062",100393823,"ADAMDEC1","ENSMUSG00000022057",58860,"Adamdec1","ENSMMUG00000005318",711034,"ADAMDEC1"
